header,data,visibility,metainfo,main_part,text
"""Аэрофлот"" запустит прямые рейсы из Москвы в Чебоксары с 14 июня",26 мая 2024,4,"Дзен Новости (dzen.ru/news), Москва, 26 мая 2024","""Аэрофлот"" запустит прямые рейсы из Москвы в Чебоксары с 14 июня","В столицу Чувашской Республики пассажиры прибудут в 23:30.
Рейс SU1587 отправится из Чебоксар в 07:00.
Самолет совершит посадку в Москве в 08:35, рассказали в соцсетях ""Аэрофлота"".
Прямые регулярные рейсы в столицу Чувашской Республики стартуют с 14 июня и будут выполняться ежедневно по расписанию: SU1586 Москва - Чебоксары 22:05 23:30 SU1587 Чебоксары - Москва 07:00 08:35.
"
"Богатые тоже плачут. Совет директоров ""Норникеля"" рекомендовал своим акционерам отказаться от девидентов за 2023 год",26 мая 2024,2,"Лента новостей Красноярска (krasnoyarsk-news.net), Красноярск, 26 мая 2024","Богатые тоже плачут. Совет директоров ""Норникеля"" рекомендовал своим акционерам отказаться от девидентов за 2023 год","Богатые тоже плачут
Совет директоров ""Норникеля"" рекомендовал своим акционерам отказаться от девидентов за 2023 год.
Выручка компании упала на 15% из-за западных санкций и ""геополитических вызовов""
Теперь остается дождаться ответа самих акционеров
Прислать новость | Подписаться на 7 канал
Источник: Telegram-канал ""7 канал Красноярск""
Богатые тоже плачут. Совет директоров ""Норникеля"" рекомендовал своим акционерам отказаться от девидентов за 2023 год
"
"Накануне Дня химика в Череповце при поддержке ""ФосАгро"" открылся новый инклюзивный подростковый центр",26 мая 2024,2,"ИА Север Инфо, Вологда, 26 мая 2024","Накануне Дня химика в Череповце при поддержке ""ФосАгро"" открылся новый инклюзивный подростковый центр","Сегодня, 26 мая, свой профессиональный праздник отмечают сотрудники АО ""Апатит"" - череповецкого химического кластера Группы ""ФосАгро"".
Накануне при поддержке компании новое пространство появилось в здании общественной организации ""БУДУЩЕЕ ЕСТЬ!"" на Устюженской, 16. Здесь будут заниматься подростки Индустриального района и дети с особенностями развития.
С открытием центра поздравил Александр Гильгенберг, генеральный директор АО ""Апатит"": ""Работа с детьми всегда требует особого внимания и ответственности, а с детьми с особенностями развития - вдвойне. Компания ""ФосАгро"" уже несколько лет шефствует над этим проектом, мы с радостью оказываем помощь, видим результаты своей работы. Особенно символично, что мы открываем этот центр в преддверии двух важных праздников - Дня химика и Дня защиты детей. Желаю организации ""БУДУЩЕЕ ЕСТЬ"" дальнейшего развития и процветания!""
Юлия Мажарова, руководитель общественной организации, подчеркнула, что компания ""ФосАгро"" вносит огромный вклад в жизнь подопечных центра: ""В этом центре место есть для каждого ребенка. Это комфортное, безопасное пространство для общения и развития нормотипичных подростков и детей с особенностями развития. Дети смогут играть в настольные игры, делать уроки, общаться с гостями, есть чайная зона, здесь будут проходить разные встречи и культурные мероприятия"".
Ремонт помещений шел с начала года. За это время при поддержке ""ФосАгро"" удалось сделать многое: полностью заменены батареи, отремонтированы стены, пол, потолок, заменены сантехника, электрика, двери и окна. Закуплена новая мебель, обновлен фасад здания. Дизайн пространств выполнен в морском стиле, так придумали сами ребята, посещающие ""БУДУЩЕЕ ЕСТЬ"". Показать / Скрыть текст 
Фото: vk.com/himik_che 
"
Спутниковый интернет внедряд в авиационный и железнодорожный транспорт,26 мая 2024,188,"Правда.ру (pravda.ru), Москва, 26 мая 2024",Спутниковый интернет внедряд в авиационный и железнодорожный транспорт,"Автор: Антонов Владимир
В рамках события ЦИПР-2024 авиакомпания ""Аэрофлот"" и РЖД заключили договор с отечественной космической организацией ""Бюро 1440"" о сотрудничестве в области внедрения передовых космических систем и технологий в железнодорожном и авиационном транспорте.
Фото: PxHere is licensed under CC0 
Проще говоря, это касается широкополосного космического интернета, который в будущем станет доступным для пассажиров самолетов ""Аэрофлот"" и поездов РЖД, а также поможет транспортным компаниям усовершенствовать управление движением транспорта.
Прогнозируется, что скорость передачи данных достигнет 1 Гбит/с, а задержки не превысят 70 мс, что даст возможность использовать спутниковую связь как для пассажирского сектора, так и для систем дистанционного управления движением.
В компании РЖД заявили о том, что они первыми в России интегрируют спутниковые технологии в управленческие информационные системы своих поездов, что обеспечит пассажиров быстрым интернетом, улучшит управление грузоперевозками и поможет с автономными составами. Специалисты РЖД намерены приступить к тестированию уже в 2025 году.
В ""Аэрофлоте"" пока не назвали конкретные сроки, но отметили, что благодаря передовым космическим системам передачи данных пассажиры авиалиний получат быстрый и качественный доступ к сети, что приведет к увеличению безопасности полетов благодаря более эффективному и точному отслеживанию.
Напомним, что специалисты из ""Бюро 1440"" уже длительное время работают над сервисом широкополосной передачи данных, тестируя собственную низкоорбитальную группировку спутников. Летом 2023 года была успешно проведена миссия ""Рассвет-1"", демонстрирующая впечатляющие результаты, и в настоящее время компания приступила к программе ""Рассвет-2"" с использованием стандарта 5G NTN (не наземные сети).
 Новости о науке Присоединяйся к Pravda.Ru 
"
Норникель рекомендовал акционерам отказаться от дивидентов за 2023 год,26 мая 2024,78,"7 канал Красноярск, Красноярск, 26 мая 2024",Норникель рекомендовал акционерам отказаться от дивидентов за 2023 год,"Совет директоров ПАО ""ГМК ""Норильский никель"" рекомендовал своим акционерам отказаться от дивидентов за прошедший год, сообщили в компании. 
""В 2023 году санкционные ограничения и геополитические вызовы оказали существенное давление на финансовые показатели ""Норникеля"". Выручка снизилась на 15% по сравнению с прошлым годом и составила 14,4 млрд долл. США, EBITDA уменьшилась на 21% (до 6,9 млрд долл. США). Свободный денежный поток составил 2,7 млрд долл. США, а с учетом уплаченных процентов, обязательств по аренде, а также дивидендов, выплаченных держателям неконтролирующих долей, скорректированный свободный денежный поток за 2023 год составил 1,3 млрд долл. США. При этом на выплату промежуточных дивидендов за 9 месяцев 2023 года компания уже направила 1,5 млрд долларов"", - говорится в сообщении компании. 
В данной ситуации выплату дивидентов за счет увеличения долга в компании посчитали нецелесообразной. Очередное собрание акционеров ""Норникеля"" назначено на 28 июня. 
Ранее мы рассказывали о миллиардерах, связанных с Красноярском крае, теряющих лидерские места в рейтинге Forbes. Президент ГМК ""Норникель"" Владимир Потанин занимает пятую строчку в рейтинге. 
Игорь Пантелеев 
Похожие сообщения (1):
БезФормата Красноярск (krasnoyarsk.bezformata.com), Красноярск, 26 мая 2024, Норникель рекомендовал акционерам отказаться от дивидентов за 2023 год
"
"Основатель ""Магнита"" Галицкий приводит дела в порядок: завещание, фонды и роль дочери в бизнесе. Рак вернулся",26 мая 2024,70,"Экспресс газета (eg.ru), Москва, 26 мая 2024","Основатель ""Магнита"" Галицкий приводит дела в порядок: завещание, фонды и роль дочери в бизнесе. Рак вернулся","Так любил, что взял ее фамилию, а потеряв, закрылся от мира: трагическая история брака Сергея Галицкого 
 Основатель ""Магнита"" Галицкий приводит дела в порядок: завещание, фонды и роль дочери в бизнесе. Рак вернулся 
Сергей Галицкий впервые за долгое время появился на публике. Бизнесмена сложно узнать. 
Три года назад стало известно, что основатель сети супермаркетов ""Магнит"" Сергей Галицкий тяжело болен. Российский миллиардер откровенно признался, что не может посещать все футбольные матчи своего клуба из-за недуга. Общаясь с журналистами, Галицкий не назвал свой диагноз. Между тем позже теледива Ксения Собчак раскрыла тайну предпринимателя, публично заявив, что тот борется с раком.
Сергей Галицкий лечился у лучших докторов. На какое-то время коварный недуг удалось загнать в ремиссию. Но недавно онкология вернулась.
Накануне 56-летний Галицкий впервые за долгое время появился на публике. Бизнесмен посетил спортивное мероприятие. Очевидцы сообщают, что болезнь и химиотерапия изнурили организм Сергея. Предприниматель резко постарел. Тем временем журналист Иван Карпов рассказал, что у Сергея Галицкого случился рецидив и шансов на выздоровление мало.
""У Галицкого рецидив раковой опухоли. Коллеги знают, что я не собирался писать об этом до окончания сезона. Но вот этот момент настал. Еще в декабре врачи поставили владельцу Краснодара неутешительный диагноз: полгода жизни. Все это время он проходил химиотерапию, которая сильно влияет организм"", - поведал Карпов.
 Сергея Галицкого обсуждают в соцсетях 
По слухам, сейчас Сергей наводит порядок в делах. Также предприниматель организовал два фонда - для футбольного клуба ""Краснодар"" и для академии. Руководить организациями будет дочь бизнесмена, Полина. В последние годы, как говорят, Галицкий очень сблизился с наследницей.
Полина Галицкая - единственная дочь бизнесмена. Вероятно, предприниматель уже написал в пользу любимого чада завещание. Несколько лет назад издание Forbes включило Галицкую в список самых богатых наследников России. Журнал оценил состояние молодой женщины в 3,3 млрд долларов, она заняла 14-ю строчку в рейтинге. 
Источник: Телеграм-канал Ивана Карпова
"
Календарь инвестора,26 мая 2024,8,"Циfра брокер (cifra-broker.ru), Москва, 26 мая 2024",Календарь инвестора,"На что обратить внимание: результаты МТС Банка, ""РусГидро"", Аэрофлота за первые три месяца 2024 года. Росстат опубликует данные по объемам промышленного производства за первые четыре месяца года. 
Другие важные события недели: 
Понедельник, 27 мая 2024 г. 
МТС Банк раскроет результаты по МСФО за I квартал 2024 года 
Совет директоров ""Росгосстрах"" вынесет рекомендацию по дивидендам за 2023 год 
Вторник, 28 мая 2024 г. 
Henderson опубликует операционные результаты за апрель 2024 года и проведет День инвестора 
Среда, 29 мая 2024 г. 
""РусГидро"" раскроет результаты по МСФО за I квартал 2024 года 
""ЕвроТранс"" проведет День инвестора 
Данные Росстата по объемам промышленного производства за первые четыре месяца 2024 года, а также по индексу потребительских цен за неделю с 21 по 27 мая 
Четверг, 30 мая 2024 г. 
Аэрофлот опубликует результаты по МСФО за первые три месяца 2024 года 
Годовое общее собрание акционеров ММК по вопросу о дивидендах за 2023 год в размере 2,752 руб. на одну акцию 
Последний день для покупки акций АЛРОСА перед закрытием реестра акционеров с правом на дивиденды за II полугодие 2023 года в размере 2,02 руб. на одну акцию 
Пятница, 31 мая 2024 г. 
ГОСА Европлана по вопросу о дивидендах за 2023 год 
Последний день для покупки акций Henderson перед закрытием реестра акционеров с правом на дивиденды за I квартал 2024 год в размере 30 руб. на одну акцию. 
Последний день для покупки акций ИнтерРАО перед закрытием реестра акционеров с правом на дивиденды за 2023 год в размере 0,326 руб. на одну акцию 
Селигдар проведет День инвестора 
"
"""Последовал примеру"" Потанина: Мордашов поддержал идею поднятия налога на сверхприбыль",26 мая 2024,4,"Пронедра (pronedra.ru), Москва, 26 мая 2024","""Последовал примеру"" Потанина: Мордашов поддержал идею поднятия налога на сверхприбыль","Автор: Арестова Татьяна
Источник фото: muzhyazheny.ru
Глава ""Северстали"" и основной акционер компании Алексей Мордашов поддержал идею поднятья налога на сверхприбыль. По его мнению, инициатива сработает лучше введения оборотных платежей и разовых сборов. Мордашов также высказал одобрение идеи повышения налогового бремени для более состоятельных граждан, сообщает ТАСС.
Ответственные предприниматели осознают необходимость более справедливого распределения налоговой нагрузки, подчеркнул Мордашов. Система должна быть стабильной и предсказуемой, чтобы способствовать развитию предпринимательской активности и инвестиций. По мнению главы ""Северстали"", будет справедливо предоставить возможность снижения налоговой нагрузки компаниям, увеличивающим инвестиции. Он также поддержал идею увеличения налогов для состоятельных граждан. При этом средства, полученные за счет таких изменений, должны направляться на социальные нужды, добавил бизнесмен.
Аналогичной позиции придерживается и Владимир Потанин, глава ""Норникеля"". Компания, как сообщали на pronedra.ru, ранее также приняла решение не начислять итоговые дивиденды за 2023 г. При этом были проведены промежуточные выплаты.
Разовый сбор для крупных российских компаний действовал с августа 2023 г. по январь 2024 г. Он составлял 10% от положительной разницы между средней суммой прибыли 2021-2022 гг. и 2018-2019 гг. Для компаний, досрочно перечисливших сбор в виде обеспечительного платежа, ставка снижалась в 2 раза.
Федеральный бюджет получил за счет инициативы порядка 318,8 млрд рублей, отметили в Минфине. Однако ведомство заявило о нежелании повторного введения данного налога. 
"
Глава региона Георгий Филимонов поздравил череповецких химиков с профессиональным праздником,26 мая 2024,6,"Московский Комсомолец (vologda.mk.ru), Вологда, 26 мая 2024",Глава региона Георгий Филимонов поздравил череповецких химиков с профессиональным праздником,"Последнее воскресенье мая свой профессиональный праздник отмечают работники химической отрасли. В этом году День химика выпал на 26 число. Накануне врио губернатора Вологодской области Георгий Филимонов поздравил коллектив комплекса ""Апатит"" компании ""ФосАгро"".
""Это основное предприятие химического комплекса региона, которое создает ценные материалы и продукты, применяемые во многих сферах жизни. Компания не только обеспечивает регион сырьем и готовой продукцией, но и принимает участие в важных социально ориентированных проектах"", - отметил на своей странице в социальной сети Георгий Филимонов.
Глава региона пожелал коллективу ""Апатит"" новых трудовых достижений и успешной реализации самых смелых проектов.
На торжественном собрании в честь праздника были отмечены более 40 сотрудников компании. Им вручили государственные, ведомственные, региональные, муниципальные, городские и корпоративные награды. 
Отметим также, что в 2024 году отмечается юбилей создания в Череповце большой химии - 55 лет назад были построены химические предприятия.
Новости по теме: 
Руководители профильных министерств и отраслевых объединений поздравили череповецких химиков с профессиональным праздником
Ко Дню химика повышенную премию!
Трудовые победы ""ФосАгро"" и мотивация сотрудников тесно взаимосвязаны
Ведущие кардиологи из Москвы бесплатно проконсультировали и обследовали более 150 череповчан
Благоустройство и развитие парка Победы в Череповце продолжится благодаря компании ""ФосАгро""
Площадь Дрыгина в центре Вологды будет отремонтирована при поддержке ""ФосАгро""
""ФосАгро"" построит свой шестой по счету дом в Северном районе Череповца 
Глава региона Георгий Филимонов поздравил череповецких химиков с профессиональным праздником
"
"Газпром, Ростелеком, Сегежа, ФосАгро. Обзор рынка. Индекс Мосбиржи / Новости финансового рынка",26 мая 2024,2,"Smart SMI (smart-smi.ru), Москва, 26 мая 2024","Газпром, Ростелеком, Сегежа, ФосАгро. Обзор рынка. Индекс Мосбиржи / Новости финансового рынка","Основные новости недели, которые оказали влияние на фондовый рынок России и наши инвестиционные портфели за неделю. Разбираю причины роста отдельный акций, а также делаю прогноз движения индекса Московской биржи. 
"
